OBJECTID,Route_Name,Route_Type,Route_Numb,Distributi,Shape__Length,GlobalID
1,KENT ISLAND - ANNAPOLIS/BALTIMORE,MTA Commuter Bus,210,E1 - Public Domain - Internal Use Only,0.243663477260343,198c32b4-bcab-42da-b81c-f6bd29da7ac4
2,BALTIMORE - ANNAPOLIS,MTA Commuter Bus,215,E1 - Public Domain - Internal Use Only,0.244740073399698,899b705d-8d05-47f0-af67-0d04d1d05dab
3,COLUMBIA - BALTIMORE,MTA Commuter Bus,310,E1 - Public Domain - Internal Use Only,0.243663477260343,107eafdf-f320-4264-87c2-550d3526def0
4,LAUREL - BALTIMORE,MTA Commuter Bus,320,E1 - Public Domain - Internal Use Only,0.211824850345657,b52afedf-1635-4276-8043-b9f29c622464
5,CHURCHVILLE - BALTIMORE,MTA Commuter Bus,410,E1 - Public Domain - Internal Use Only,0.388041839571968,82a34ead-b5c1-4ce5-945a-bd1bc1f64206
6,HICKORY - HOPKINS HOSPITAL,MTA Commuter Bus,411,E1 - Public Domain - Internal Use Only,0.400822011696242,93da4dbe-66a4-40da-b16d-62ae7341c03a
7,HAVRE DE GRACE - HOPKINS,MTA Commuter Bus,420,E1 - Public Domain - Internal Use Only,0.398179112026113,0bcb8a83-10b0-42b7-9136-ee1663b4f35c
8,DOWNTOWN - CROMWELL BRIDGE,MTA Local Bus - Express BusLink,103,E1 - Public Domain - Internal Use Only,0.201361128530921,e5fca02e-234a-461e-a156-81e84d0ab6aa
9,CROMWELL BRIDGE - HARBOR EAST,MTA Local Bus - Express BusLink,104,E1 - Public Domain - Internal Use Only,0.204417926946487,699a988d-4901-4225-a16a-b7eb38a08d41
10,CEDONIA - DOWNTOWN,MTA Local Bus - Express BusLink,105,E1 - Public Domain - Internal Use Only,0.220857740352239,91c2c356-7d7b-42ee-9a03-d0557d3ab1f0
11,DOWNTOWN - PERRY HALL,MTA Local Bus - Express BusLink,115,E1 - Public Domain - Internal Use Only,0.159144149101317,c5286996-40c5-4324-a49a-a948d9752840
12,WHITE MARSH - DOWNTOWN/HOPKINS HOSP,MTA Local Bus - Express BusLink,120,E1 - Public Domain - Internal Use Only,0.508037424439384,62b2e44b-56dc-4ec4-a2ea-d5e5a6e2dbcd
13,COLUMBIA - DOWNTOWN/HARBOR EAST,MTA Local Bus - Express BusLink,150,E1 - Public Domain - Internal Use Only,0.248803616320745,71d2e5f3-49ab-4513-b66d-5185a8a9e931
14,STATE CENTER - CARNEY/HILLENDALE,MTA Local Bus - Express BusLink,154,E1 - Public Domain - Internal Use Only,0.253222096797742,2e0b9507-8ab7-46ca-9ab9-30d4a30c0efc
15,DOWNTOWN/HOPKINS HOSPITAL - ESSEX,MTA Local Bus - Express BusLink,160,E1 - Public Domain - Internal Use Only,0.329521282145068,cd6712b9-3463-4cb2-86c9-4fd3ae99870f
16,W BALTIMORE MARC - TRADEPOINT,MTA Local Bus - Express BusLink,163,E1 - Public Domain - Internal Use Only,0.320640582075906,8e4acc59-139b-408f-8b2c-0d51d249f124
17,WOODBERRY - CANTON CROSSING,MTA Local Bus - LocalLink,21,E1 - Public Domain - Internal Use Only,0.187126452924038,599c774d-1271-473f-9cff-3df25a4b0474
18,MONDAWMIN - BAYVIEW,MTA Local Bus - LocalLink,22,E1 - Public Domain - Internal Use Only,0.252544100932784,a504895a-ffb6-4cb3-a237-d1a038aa3b1f
19,BROOKLYN - MONDAWMIN,MTA Local Bus - LocalLink,26,E1 - Public Domain - Internal Use Only,0.21088817115282,0601fc5f-b468-4c3d-8926-f58b0994c9be
20,MORAVIA - ROGERS AVE METRO,MTA Local Bus - LocalLink,28,E1 - Public Domain - Internal Use Only,0.237477442697996,74c81792-204f-4cc1-8b5f-9d1e10563954
21,MONDAWMIN - BROOKLYN,MTA Local Bus - LocalLink,29,E1 - Public Domain - Internal Use Only,0.284750168257912,aa296397-7bcc-414a-853b-8c2802a0b9e2
22,ROGERS AVE - HOLLANDER RIDGE,MTA Local Bus - LocalLink,30,E1 - Public Domain - Internal Use Only,0.305806217492798,5820548c-85cc-420a-a347-9e068ac2797b
23,SINAI HOSPITAL - SECURITY SQ MALL,MTA Local Bus - LocalLink,31,E1 - Public Domain - Internal Use Only,0.0902494319471882,8993f0cf-3ae8-4a49-bc3b-a1c69d19d9d7
24,MT WASHINGTON LIGHT RAIL - OVERLEA,MTA Local Bus - LocalLink,33,E1 - Public Domain - Internal Use Only,0.242812966490123,16cdb7d4-316e-4c52-8ff3-2ce13bfe1322
25,FALLS RD/GREENSPRING- WESTVIEW MALL,MTA Local Bus - LocalLink,34,E1 - Public Domain - Internal Use Only,0.191120806192384,8f24f218-c629-4249-82ff-0d066df15f09
